log_n,witness_value,cumulative_max_witness_value
280.1650898671,1.7268092393,1.7656334817
281.0140639711,1.7052809784,1.7656334817
281.8515559460,1.7171539412,1.7656334817
282.6782202163,1.7105717432,1.7656334817
283.4937394660,1.6911548543,1.7656334817
284.2983064024,1.7166745878,1.7656334817
284.9358902699,1.7658370115,1.7658370115
285.0925757500,1.7196931642,1.7658370115
285.6290374504,1.7659409702,1.7659409702
285.8766214355,1.7260827438,1.7659409702
286.6510265573,1.6973089739,1.7659409702
287.4162289679,1.7122702225,1.7659409702
288.1725798508,1.7020465405,1.7659409702
288.9202641851,1.7104273174,1.7659409702
289.6592303181,1.7063530092,1.7659409702
290.3897626419,1.7188046546,1.7659409702
290.5599077761,1.7661046720,1.7661046720
291.1119356421,1.7136846351,1.7661046720
291.2530549566,1.7662258828,1.7662258828
291.8258608779,1.7093795592,1.7662258828
292.5318595784,1.6967534020,1.7662258828
293.2302396099,1.7126645502,1.7662258828
293.9211852949,1.7204973858,1.7662258828
294.6050315959,1.7037098360,1.7662258828
295.2821871785,1.7212419423,1.7662258828
295.9524497509,1.7132507142,1.7662258828
296.1982624454,1.7664041786,1.7664041786
296.6161825450,1.7001326066,1.7664041786
296.8914096259,1.7665419719,1.7665419719
297.2732414179,1.7286476359,1.7665419719
297.9238240755,1.7116378753,1.7665419719
298.5680991012,1.6880240837,1.7665419719
299.2060488570,1.7222724917,1.7665419719
299.8380607611,1.6902070647,1.7665419719
300.4641591029,1.7179223597,1.7665419719
301.0846061055,1.7207951897,1.7665419719
301.6994775438,1.7310785205,1.7665419719
301.8437093430,1.7667844764,1.7667844764
302.3091028107,1.7043590511,1.7667844764
302.5368565236,1.7669382053,1.7669382053
302.9135892052,1.7105696426,1.7669382053
303.5127177044,1.6902037123,1.7669382053
304.1070640534,1.7143853160,1.7669382053
304.6960986620,1.7198024698,1.7669382053
305.2803342891,1.7157037855,1.7669382053
305.6723507395,1.7669497918,1.7669497918
305.8596782115,1.7111543390,1.7669497918
306.4341613556,1.7240654372,1.7669497918
307.0040051571,1.7164771922,1.7669497918
307.5238819521,1.7670448918,1.7670448918
307.5694047742,1.7084236785,1.7670448918
308.1302156760,1.7171333491,1.7670448918
308.2170291326,1.7672140028,1.7672140028
308.6867553899,1.7160221086,1.7672140028
309.2390444703,1.6964013741,1.7672140028
309.7874438270,1.7117637374,1.7672140028
310.3318199000,1.7392344533,1.7672140028
